y	offset	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43
280	5.4806389233419912	0.027777777777776874	0.11111111111111291	0.027777777777776874	0	0	0	0.1111111111111075	0.44444444444445164	0.1111111111111075	0	0	0	0.027777777777776874	0.11111111111111291	0.027777777777776874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
273	5.4806389233419912	0.0051830255911883092	0.087058632977001449	0.072238419177194063	0.002186588921282834	0	0	0.020732102364753237	0.3482345319080058	0.28895367670877625	0.0087463556851313361	0	0	0.0051830255911883092	0.087058632977001449	0.072238419177194063	0.002186588921282834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
305	5.4806389233419912	8.0984774862275901e-05	0.041140265630061928	0.10795270489147979	0.017492711370262672	0	0	0.0003239390994491036	0.16456106252024771	0.43181081956591916	0.069970845481050689	0	0	8.0984774862275901e-05	0.041140265630061928	0.10795270489147979	0.017492711370262672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
267	5.4806389233419912	0	0.010123096857791294	0.099449303530935243	0.056446388079041371	0.00064787819889877533	0	0	0.040492387431165178	0.39779721412374097	0.22578555231616548	0.0025915127955951013	0	0	0.010123096857791294	0.099449303530935243	0.056446388079041371	0.00064787819889877533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
256	5.4806389233419912	0	0.00064787819889877533	0.056446388079041371	0.099449303530935243	0.010123096857791294	0	0	0.0025915127955951013	0.22578555231616548	0.39779721412374097	0.040492387431165178	0	0	0.00064787819889877533	0.056446388079041371	0.099449303530935243	0.010123096857791294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
273	5.4806389233419912	0	0	0.017492711370262672	0.10795270489147979	0.041140265630061928	8.0984774862275901e-05	0	0	0.069970845481050689	0.43181081956591916	0.16456106252024771	0.0003239390994491036	0	0	0.017492711370262672	0.10795270489147979	0.041140265630061928	8.0984774862275901e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
243	5.4806389233419912	0	0	0.002186588921282834	0.072238419177194063	0.087058632977001449	0.0051830255911883092	0	0	0.0087463556851313361	0.28895367670877625	0.3482345319080058	0.020732102364753237	0	0	0.002186588921282834	0.072238419177194063	0.087058632977001449	0.0051830255911883092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
259	5.4806389233419912	0	0	0	0.027777777777776874	0.11111111111111291	0.027777777777776874	0	0	0	0.1111111111111075	0.44444444444445164	0.1111111111111075	0	0	0	0.027777777777776874	0.11111111111111291	0.027777777777776874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
210	5.4806389233419912	0.027777777777776874	0.11111111111111291	0.027777777777776874	0	0	0	0.1111111111111075	0.44444444444445164	0.1111111111111075	0	0	0	0.027777777777776874	0.11111111111111291	0.027777777777776874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
189	5.4806389233419912	0.0051830255911883092	0.087058632977001449	0.072238419177194063	0.002186588921282834	0	0	0.020732102364753237	0.3482345319080058	0.28895367670877625	0.0087463556851313361	0	0	0.0051830255911883092	0.087058632977001449	0.072238419177194063	0.002186588921282834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
