y	offset	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42
244	5.4806389233419912	0.027777777777776874	0.11111111111111291	0.027777777777776874	0	0	0	0.1111111111111075	0.44444444444445164	0.1111111111111075	0	0	0	0.027777777777776874	0.11111111111111291	0.027777777777776874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
237	5.4806389233419912	0.0051830255911883092	0.087058632977001449	0.072238419177194063	0.002186588921282834	0	0	0.020732102364753237	0.3482345319080058	0.28895367670877625	0.0087463556851313361	0	0	0.0051830255911883092	0.087058632977001449	0.072238419177194063	0.002186588921282834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268	5.4806389233419912	8.0984774862275901e-05	0.041140265630061928	0.10795270489147979	0.017492711370262672	0	0	0.0003239390994491036	0.16456106252024771	0.43181081956591916	0.069970845481050689	0	0	8.0984774862275901e-05	0.041140265630061928	0.10795270489147979	0.017492711370262672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
232	5.4806389233419912	0	0.010123096857791294	0.099449303530935243	0.056446388079041371	0.00064787819889877533	0	0	0.040492387431165178	0.39779721412374097	0.22578555231616548	0.0025915127955951013	0	0	0.010123096857791294	0.099449303530935243	0.056446388079041371	0.00064787819889877533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
222	5.4806389233419912	0	0.00064787819889877533	0.056446388079041371	0.099449303530935243	0.010123096857791294	0	0	0.0025915127955951013	0.22578555231616548	0.39779721412374097	0.040492387431165178	0	0	0.00064787819889877533	0.056446388079041371	0.099449303530935243	0.010123096857791294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
238	5.4806389233419912	0	0	0.017492711370262672	0.10795270489147979	0.041140265630061928	8.0984774862275901e-05	0	0	0.069970845481050689	0.43181081956591916	0.16456106252024771	0.0003239390994491036	0	0	0.017492711370262672	0.10795270489147979	0.041140265630061928	8.0984774862275901e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210	5.4806389233419912	0	0	0.002186588921282834	0.072238419177194063	0.087058632977001449	0.0051830255911883092	0	0	0.0087463556851313361	0.28895367670877625	0.3482345319080058	0.020732102364753237	0	0	0.002186588921282834	0.072238419177194063	0.087058632977001449	0.0051830255911883092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
225	5.4806389233419912	0	0	0	0.027777777777776874	0.11111111111111291	0.027777777777776874	0	0	0	0.1111111111111075	0.44444444444445164	0.1111111111111075	0	0	0	0.027777777777776874	0.11111111111111291	0.027777777777776874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266	5.5606389233419913	0.020249999999999341	0.081000000000001321	0.020249999999999341	0	0	0	0.10952777777777421	0.43811111111111822	0.10952777777777421	0	0	0	0.036861111111109908	0.14744444444444682	0.036861111111109908	0	0	0	2.7777777777776874e-05	0.00011111111111111292	2.7777777777776874e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	5.5606389233419913	0.0037784256559762778	0.063465743440234049	0.052661807580174476	0.001594023323615186	0	0	0.020436669906055506	0.3432721898283167	0.28483608681567624	0.0086217201166182145	0	0	0.0068778749595068862	0.11552680596048091	0.095860382248136533	0.0029016034985423207	0	0	5.1830255911883093e-06	8.705863297700144e-05	7.2238419177194076e-05	2.1865889212828339e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
